GameId,Week,Team,Opponent,Offense Plays,Offense Drives,Offense Ppa,Offense TotalPPA,Offense SuccessRate,Offense Explosiveness,Offense PowerSuccess,Offense StuffRate,Offense LineYards,Offense LineYardsTotal,Offense SecondLevelYards,Offense SecondLevelYardsTotal,Offense OpenFieldYards,Offense OpenFieldYardsTotal,Offense StandardDowns Ppa,Offense StandardDowns SuccessRate,Offense StandardDowns Explosiveness,Offense PassingDowns Ppa,Offense PassingDowns SuccessRate,Offense PassingDowns Explosiveness,Offense RushingPlays Ppa,Offense RushingPlays TotalPPA,Offense RushingPlays SuccessRate,Offense RushingPlays Explosiveness,Offense PassingPlays Ppa,Offense PassingPlays TotalPPA,Offense PassingPlays SuccessRate,Offense PassingPlays Explosiveness,Defense Plays,Defense Drives,Defense Ppa,Defense TotalPPA,Defense SuccessRate,Defense Explosiveness,Defense PowerSuccess,Defense StuffRate,Defense LineYards,Defense LineYardsTotal,Defense SecondLevelYards,Defense SecondLevelYardsTotal,Defense OpenFieldYards,Defense OpenFieldYardsTotal,Defense StandardDowns Ppa,Defense StandardDowns SuccessRate,Defense StandardDowns Explosiveness,Defense PassingDowns Ppa,Defense PassingDowns SuccessRate,Defense PassingDowns Explosiveness,Defense RushingPlays Ppa,Defense RushingPlays TotalPPA,Defense RushingPlays SuccessRate,Defense RushingPlays Explosiveness,Defense PassingPlays Ppa,Defense PassingPlays TotalPPA,Defense PassingPlays SuccessRate,Defense PassingPlays Explosiveness,Id,Season,Home Team,Home Points,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Team,Away Points,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Id,HomeTeam,HomeScore,AwayTeam,AwayScore,LineProvider,OverUnder,Spread,FormattedSpread,OpeningSpread,OpeningOverUnder,HomeMoneyline,AwayMoneyline,Game Id,School,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,Outcome
401634300.00,1.00,Stanford,TCU,73.00,13.00,0.10,7.24,0.34,1.42,0.75,0.33,1.73,57.00,1.15,38.00,1.82,60.00,0.01,0.43,1.15,0.26,0.19,2.48,0.10,3.40,0.33,1.43,0.10,3.84,0.35,1.40,75.00,13.00,0.25,18.40,0.51,1.12,0.56,0.27,2.62,86.00,0.97,32.00,0.33,11.00,0.26,0.57,1.04,0.21,0.36,1.40,0.06,2.05,0.58,0.69,0.39,16.35,0.45,1.55,401634300.00,2024.00,Stanford,27.00,0.11,1286.00,1295.00,TCU,34.00,0.89,1587.00,1578.00,9.26,401634300.00,Stanford,27.00,TCU,34.00,Bovada,58.50,8.00,TCU -8.0,8.50,58.50,250.00,-300.00,401634300.00,Stanford,1.00,0.00,0.00,0.00,2.00,11.00,0.00,1.00,9.00,0.00,0.00,0.00,2.00,1.00,4.00,0.00,40.00,1.00,2.00,2.00,1.24,1.00,0.00,1.00,45406.00,3.30,37.00,121.00,4.60,18-36,165.00,286.00,45327.00,45427.00,17.00,-1.00
401634766.00,4.00,Stanford,Syracuse,70.00,12.00,0.16,11.46,0.44,0.98,0.83,0.13,3.49,108.00,1.32,41.00,1.45,45.00,0.10,0.57,0.72,0.28,0.23,2.05,0.10,3.14,0.48,0.68,0.21,8.32,0.41,1.26,59.00,12.00,0.15,8.68,0.41,1.54,1.00,0.36,1.67,23.00,0.93,13.00,0.64,9.00,0.09,0.46,1.23,0.24,0.32,2.30,-0.09,-1.29,0.43,0.64,0.22,9.97,0.40,1.84,401634766.00,2024.00,Syracuse,24.00,0.15,1386.00,1378.00,Stanford,26.00,0.85,1295.00,1303.00,8.57,401634766.00,Syracuse,24.00,Stanford,26.00,Bovada,57.00,-7.50,Syracuse -7.5,-9.50,58.50,-330.00,265.00,401634766.00,Stanford,0.00,8.00,0.00,3.00,1.00,0.00,0.00,0.00,14.00,71.00,1.00,2.00,0.00,1.00,7.00,1.00,36.00,4.00,1.00,3.00,1.36,2.00,0.00,2.00,20271.00,5.40,32.00,173.00,4.70,23-38,178.00,351.00,45324.00,45426.00,20.00,1.00
401635561.00,5.00,Stanford,Clemson,71.00,14.00,-0.04,-2.69,0.37,1.29,0.20,0.33,3.22,129.00,1.53,61.00,2.53,101.00,-0.10,0.40,0.97,0.09,0.29,2.15,0.23,9.36,0.43,1.36,-0.39,-12.06,0.29,1.15,61.00,15.00,0.20,11.97,0.34,1.66,1.00,0.28,2.79,81.00,1.41,41.00,1.69,49.00,0.04,0.38,1.34,0.44,0.29,2.30,0.17,5.01,0.31,1.42,0.22,6.96,0.38,1.84,401635561.00,2024.00,Clemson,40.00,0.95,1790.00,1805.00,Stanford,14.00,0.05,1303.00,1288.00,3.89,401635561.00,Clemson,40.00,Stanford,14.00,Bovada,58.00,-24.00,Clemson -24.0,-21.50,58.00,-1900.00,900.00,401635561.00,Stanford,0.00,-1.00,0.00,2.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,6.00,0.00,35.00,1.00,4.00,3.00,1.41,3.00,0.00,3.00,21306.00,5.40,44.00,236.00,4.60,13-27,125.00,361.00,0-3,45490.00,20.00,-1.00
401635573.00,6.00,Stanford,Virginia Tech,67.00,9.00,-0.04,-2.71,0.39,1.16,0.75,0.16,3.22,119.00,0.97,36.00,0.32,12.00,-0.16,0.46,0.87,0.21,0.24,2.38,0.02,0.69,0.46,0.93,-0.11,-3.39,0.30,1.59,55.00,9.00,0.33,17.94,0.42,1.31,0.50,0.17,2.82,99.00,0.66,23.00,0.66,23.00,0.21,0.50,0.93,0.52,0.29,2.37,0.10,3.46,0.37,0.94,0.72,14.49,0.50,1.79,401635573.00,2024.00,Stanford,7.00,0.04,1288.00,1261.00,Virginia Tech,31.00,0.96,1617.00,1644.00,2.29,401635573.00,Stanford,7.00,Virginia Tech,31.00,Bovada,49.50,8.50,Virginia Tech -8.5,6.50,53.50,255.00,-310.00,401635573.00,Stanford,0.00,-2.00,0.00,2.00,1.00,57.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,3.00,4.00,0.00,31.00,1.00,3.00,2.00,1.38,1.00,1.00,2.00,45406.00,3.30,41.00,136.00,4.90,14-25,122.00,258.00,45354.00,45425.00,18.00,-1.00
401628981.00,7.00,Stanford,Notre Dame,59.00,10.00,-0.06,-3.81,0.42,0.85,0.57,0.16,2.68,99.00,0.76,28.00,0.54,20.00,-0.15,0.47,0.77,0.15,0.31,1.15,0.00,-0.14,0.46,0.69,-0.17,-3.67,0.36,1.18,66.00,10.00,0.49,32.58,0.52,1.31,1.00,0.10,3.90,152.00,1.36,53.00,1.56,61.00,0.43,0.55,1.22,0.69,0.41,1.66,0.43,16.61,0.54,1.07,0.59,15.96,0.48,1.69,401628981.00,2024.00,Notre Dame,49.00,1.00,1994.00,2026.00,Stanford,7.00,0.00,1261.00,1229.00,4.77,401628981.00,Notre Dame,49.00,Stanford,7.00,Bovada,45.00,-22.50,Notre Dame -22.5,-23.00,46.00,-2200.00,1000.00,401628981.00,Stanford,1.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,1.00,0.00,0.00,0.00,1.00,3.00,3.00,0.00,42.00,1.00,0.00,1.00,1.28,0.00,1.00,1.00,45376.00,2.80,41.00,113.00,4.80,45583.00,87.00,200.00,45295.00,45394.00,14.00,-1.00
401635590.00,8.00,Stanford,SMU,70.00,15.00,-0.22,-15.27,0.24,1.50,0.00,0.39,1.59,45.00,0.39,11.00,0.18,5.00,-0.49,0.26,0.95,0.10,0.22,2.29,-0.43,-12.14,0.14,1.15,-0.03,-1.28,0.32,1.61,65.00,14.00,0.33,21.68,0.46,1.40,0.60,0.11,3.47,122.00,1.17,41.00,1.23,43.00,0.40,0.54,1.37,0.10,0.20,1.71,0.32,11.21,0.49,1.13,0.35,10.47,0.43,1.76,401635590.00,2024.00,Stanford,10.00,0.00,1229.00,1208.00,SMU,40.00,1.00,1765.00,1786.00,1.94,401635590.00,Stanford,10.00,SMU,40.00,Bovada,52.50,16.50,SMU -16.5,14.50,55.50,460.00,-675.00,401635590.00,Stanford,0.00,0.00,0.00,0.00,1.00,17.00,0.00,1.00,4.00,0.00,0.00,1.00,1.00,0.00,4.00,0.00,38.00,3.00,2.00,1.00,1.36,2.00,0.00,2.00,23924.00,0.90,35.00,33.00,4.70,18-37,173.00,206.00,45326.00,45337.00,15.00,-1.00
401635599.00,9.00,Stanford,Wake Forest,66.00,11.00,0.14,9.49,0.55,0.91,0.50,0.16,2.93,73.00,1.52,38.00,0.76,19.00,0.09,0.58,0.70,0.37,0.38,2.22,-0.05,-1.14,0.60,0.57,0.26,10.62,0.51,1.15,75.00,13.00,0.08,5.68,0.44,1.08,0.80,0.19,3.18,137.00,1.14,49.00,1.35,58.00,0.24,0.51,1.09,-0.44,0.22,1.01,-0.24,-10.24,0.42,0.58,0.50,15.93,0.47,1.67,401635599.00,2024.00,Stanford,24.00,0.32,1208.00,1212.00,Wake Forest,27.00,0.68,1353.00,1349.00,6.19,401635599.00,Stanford,24.00,Wake Forest,27.00,Bovada,53.00,3.00,Wake Forest -3.0,3.00,55.50,125.00,-145.00,401635599.00,Stanford,1.00,0.00,0.00,0.00,1.00,22.00,0.00,1.00,6.00,0.00,0.00,1.00,1.00,2.00,5.00,1.00,41.00,4.00,7.00,3.00,1.14,3.00,1.00,4.00,18415.00,4.60,26.00,120.00,6.00,29-40,238.00,358.00,45292.00,45423.00,23.00,-1.00
401635516.00,10.00,Stanford,NC State,56.00,12.00,0.39,21.67,0.45,1.68,1.00,0.08,3.41,126.00,1.16,43.00,3.73,138.00,0.39,0.53,1.32,0.39,0.30,2.79,0.49,18.30,0.43,1.64,0.18,3.36,0.47,1.74,60.00,12.00,0.57,33.93,0.53,1.61,1.00,0.13,3.30,125.00,1.34,51.00,3.76,143.00,0.50,0.55,1.39,0.88,0.45,2.83,0.39,14.65,0.42,1.64,0.88,19.28,0.73,1.59,401635516.00,2024.00,NC State,59.00,1.00,1460.00,1514.00,Stanford,28.00,0.00,1212.00,1158.00,3.62,401635516.00,NC State,59.00,Stanford,28.00,Bovada,46.50,-9.50,NC State -9.5,-10.00,47.50,-410.00,305.00,401635516.00,Stanford,3.00,0.00,0.00,1.00,1.00,51.00,0.00,2.00,4.00,37.00,0.00,1.00,0.00,2.00,6.00,0.00,34.00,2.00,2.00,0.00,1.10,1.00,1.00,2.00,21002.00,5.80,39.00,225.00,10.80,45551.00,173.00,398.00,45294.00,45360.00,16.00,-1.00
401635517.00,12.00,Stanford,Louisville,71.00,13.00,0.23,16.27,0.37,1.51,1.00,0.25,2.66,85.00,0.81,26.00,0.41,13.00,0.22,0.41,1.43,0.25,0.27,1.79,-0.10,-3.10,0.25,0.84,0.50,19.37,0.46,1.82,66.00,12.00,0.27,17.85,0.52,1.17,0.40,0.08,3.17,83.00,0.69,18.00,2.42,63.00,0.29,0.56,1.10,0.22,0.39,1.46,0.34,8.78,0.54,1.17,0.23,9.06,0.50,1.17,401635517.00,2024.00,Stanford,38.00,0.56,1158.00,1168.00,Louisville,35.00,0.44,1725.00,1715.00,5.00,401635517.00,Stanford,38.00,Louisville,35.00,Bovada,58.50,21.00,Louisville -21.0,20.00,57.50,750.00,-1400.00,401635517.00,Stanford,0.00,9.00,0.00,2.00,4.00,47.00,0.00,3.00,12.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,30.00,0.00,7.00,1.00,1.46,1.00,0.00,1.00,45381.00,2.20,37.00,83.00,9.50,23-34,323.00,406.00,45354.00,45428.00,22.00,1.00
401635613.00,13.00,Stanford,California,69.00,11.00,0.03,1.84,0.36,1.13,0.63,0.31,2.23,87.00,0.67,26.00,0.08,3.00,0.19,0.48,1.13,-0.40,0.05,1.14,0.03,1.11,0.36,1.01,0.02,0.73,0.37,1.28,67.00,10.00,0.24,15.86,0.43,1.52,0.50,0.30,2.27,52.00,0.57,13.00,2.17,50.00,-0.01,0.44,1.17,0.73,0.41,2.31,0.11,2.59,0.39,1.11,0.30,13.27,0.45,1.71,401635613.00,2024.00,California,24.00,0.82,1610.00,1606.00,Stanford,21.00,0.18,1168.00,1172.00,4.80,401635613.00,California,24.00,Stanford,21.00,Bovada,53.50,-14.50,California -14.5,-14.00,55.50,-675.00,460.00,401635613.00,Stanford,2.00,35.00,0.00,1.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,2.00,11.00,0.00,32.00,6.00,1.00,3.00,1.38,0.00,0.00,0.00,20210.00,3.10,39.00,120.00,4.90,15-29,141.00,261.00,45356.00,45427.00,14.00,-1.00
401635625.00,14.00,Stanford,San José State,71.00,10.00,0.23,16.27,0.42,1.28,0.50,0.29,2.84,88.00,1.45,45.00,0.87,27.00,0.00,0.47,0.96,0.63,0.35,2.02,0.12,3.77,0.48,0.97,0.31,12.50,0.38,1.59,72.00,12.00,0.15,10.87,0.50,1.25,1.00,0.24,2.60,55.00,1.14,24.00,0.38,8.00,0.15,0.54,1.03,0.16,0.41,1.93,-0.24,-5.02,0.43,0.88,0.31,15.89,0.53,1.38,401635625.00,2024.00,San José State,34.00,0.27,1481.00,1478.00,Stanford,31.00,0.73,1172.00,1175.00,7.04,401635625.00,San José State,34.00,Stanford,31.00,Bovada,54.50,-2.50,San José State -2.5,-2.50,56.00,-135.00,115.00,401635625.00,Stanford,2.00,15.00,0.00,1.00,1.00,10.00,0.00,1.00,7.00,46.00,0.00,1.00,1.00,0.00,5.00,0.00,33.00,1.00,3.00,2.00,1.30,3.00,0.00,3.00,10-115,4.00,32.00,127.00,6.30,26-40,252.00,379.00,45356.00,45458.00,21.00,-1.00
