week,date,team1,team1_score,team2,team2_score
8,"Oct 12, 2024",Ball State,37,Kent State,35
8,"Oct 12, 2024",(17)Boise State,28,Hawaii,7
8,"Oct 12, 2024",(14)Brigham Young,41,Arizona,19
8,"Oct 12, 2024",Buffalo,30,Toledo,15
8,"Oct 12, 2024",Cincinnati,19,Central Florida,13
8,"Oct 12, 2024",(10)Clemson,49,Wake Forest,14
8,"Oct 12, 2024",Colorado State,31,San Jose State,24
8,"Oct 12, 2024",(5)Georgia,41,Mississippi State,31
8,"Oct 12, 2024",Georgia Southern,24,Marshall,23
8,"Oct 12, 2024",Georgia Tech,41,North Carolina,34
8,"Oct 12, 2024",(23)Illinois,50,Purdue,49
8,"Oct 12, 2024",Iowa,40,Washington,16
8,"Oct 12, 2024",(11)Iowa State,28,West Virginia,16
8,"Oct 12, 2024",(18)Kansas State,31,Colorado,28
8,"Oct 12, 2024",Louisiana,34,Appalachian State,24
8,"Oct 12, 2024",(13)Louisiana State,29,(9)Mississippi,26
8,"Oct 12, 2024",Louisiana-Monroe,38,Southern Mississippi,21
8,"Oct 12, 2024",Louisville,24,Virginia,20
8,"Oct 12, 2024",Memphis,21,South Florida,3
8,"Oct 12, 2024",Miami (OH),38,Eastern Michigan,14
8,"Oct 12, 2024",Minnesota,21,UCLA,17
8,"Oct 12, 2024",(21)Missouri,45,Massachusetts,3
8,"Oct 12, 2024",Nevada,42,Oregon State,37
8,"Oct 12, 2024",New Mexico,52,Air Force,37
8,"Oct 12, 2024",North Texas,41,Florida Atlantic,37
8,"Oct 12, 2024",Northern Illinois,17,Bowling Green,7
8,"Oct 12, 2024",(11)Notre Dame,49,Stanford,7
8,"Oct 12, 2024",Ohio,27,Central Michigan,25
8,"Oct 12, 2024",Old Dominion,21,Georgia State,14
8,"Oct 12, 2024",(3)Oregon,32,(2)Ohio State,31
8,"Oct 12, 2024",(4)Penn State,33,Southern California,30
8,"Oct 12, 2024",(22)Pittsburgh,17,California,15
8,"Oct 12, 2024",Rice,29,Texas-San Antonio,27
8,"Oct 12, 2024",San Diego State,27,Wyoming,24
8,"Oct 12, 2024",Syracuse,24,North Carolina State,17
8,"Oct 12, 2024",(8)Tennessee,23,Florida,17
8,"Oct 12, 2024",(1)Texas,34,(18)Oklahoma,3
8,"Oct 12, 2024",Texas State,41,Arkansas State,9
8,"Oct 12, 2024",Vanderbilt,20,Kentucky,13
8,"Oct 12, 2024",Washington State,25,Fresno State,17
8,"Oct 12, 2024",Western Michigan,34,Akron,24
8,"Oct 12, 2024",Wisconsin,42,Rutgers,7
9,"Oct 15, 2024",Middle Tennessee State,14,Kennesaw State,5
9,"Oct 15, 2024",New Mexico State,33,Louisiana Tech,30
9,"Oct 15, 2024",South Alabama,25,Troy,9
9,"Oct 16, 2024",Texas-El Paso,30,Florida International,21
9,"Oct 16, 2024",Western Kentucky,31,Sam Houston,14
9,"Oct 17, 2024",Marshall,35,Georgia State,20
9,"Oct 17, 2024",Virginia Tech,42,Boston College,21
9,"Oct 18, 2024",(13)Brigham Young,38,Oklahoma State,35
9,"Oct 18, 2024",Duke,23,Florida State,16
9,"Oct 18, 2024",Fresno State,24,Nevada,21
9,"Oct 18, 2024",(2)Oregon,35,Purdue,0
9,"Oct 19, 2024",Arkansas State,44,Southern Mississippi,28
9,"Oct 19, 2024",(23)Army,45,East Carolina,28
9,"Oct 19, 2024",Baylor,59,Texas Tech,35
9,"Oct 19, 2024",Bowling Green,27,Kent State,6
9,"Oct 19, 2024",Cincinnati,24,Arizona State,14
9,"Oct 19, 2024",(10)Clemson,48,Virginia,31
9,"Oct 19, 2024",Colorado,34,Arizona,7
9,"Oct 19, 2024",Colorado State,21,Air Force,13
9,"Oct 19, 2024",Eastern Michigan,38,Central Michigan,34
9,"Oct 19, 2024",Florida,48,Kentucky,20
9,"Oct 19, 2024",(5)Georgia,30,(1)Texas,15
9,"Oct 19, 2024",Georgia Southern,28,James Madison,14
9,"Oct 19, 2024",(22)Illinois,21,(24)Michigan,7
9,"Oct 19, 2024",(16)Indiana,56,Nebraska,7
9,"Oct 19, 2024",(9)Iowa State,38,Central Florida,35
9,"Oct 19, 2024",Kansas,42,Houston,14
9,"Oct 19, 2024",(17)Kansas State,45,West Virginia,18
9,"Oct 19, 2024",Louisiana,34,Coastal Carolina,24
9,"Oct 19, 2024",(8)Louisiana State,34,Arkansas,10
9,"Oct 19, 2024",Maryland,29,Southern California,28
9,"Oct 19, 2024",Memphis,52,North Texas,44
9,"Oct 19, 2024",(6)Miami (FL),52,Louisville,45
9,"Oct 19, 2024",Miami (OH),30,Ohio,20
9,"Oct 19, 2024",Michigan State,32,Iowa,20
9,"Oct 19, 2024",(19)Missouri,21,Auburn,17
9,"Oct 19, 2024",(25)Navy,51,Charlotte,17
9,"Oct 19, 2024",Nevada-Las Vegas,33,Oregon State,25
9,"Oct 19, 2024",New Mexico,50,Utah State,45
9,"Oct 19, 2024",North Carolina State,24,California,23
9,"Oct 19, 2024",(12)Notre Dame,31,Georgia Tech,13
9,"Oct 19, 2024",Old Dominion,24,Texas State,14
9,"Oct 19, 2024",San Jose State,24,Wyoming,14
9,"Oct 19, 2024",South Carolina,35,Oklahoma,9
9,"Oct 19, 2024",South Florida,35,Alabama-Birmingham,25
9,"Oct 19, 2024",(21)Southern Methodist,40,Stanford,10
9,"Oct 19, 2024",Temple,20,Tulsa,10
9,"Oct 19, 2024",(11)Tennessee,24,(7)Alabama,17
9,"Oct 19, 2024",(14)Texas A&M,34,Mississippi State,24
9,"Oct 19, 2024",Texas Christian,13,Utah,7
9,"Oct 19, 2024",Texas-San Antonio,38,Florida Atlantic,24
9,"Oct 19, 2024",Toledo,13,Northern Illinois,6
9,"Oct 19, 2024",Tulane,24,Rice,10
9,"Oct 19, 2024",UCLA,35,Rutgers,32
9,"Oct 19, 2024",Vanderbilt,24,Ball State,14
9,"Oct 19, 2024",Wake Forest,23,Connecticut,20
9,"Oct 19, 2024",Washington State,42,Hawaii,10
9,"Oct 19, 2024",Western Michigan,48,Buffalo,41
9,"Oct 19, 2024",Wisconsin,23,Northwestern,3
10,"Oct 22, 2024",Sam Houston,,Florida International,
10,"Oct 22, 2024",Texas-El Paso,,Louisiana Tech,
10,"Oct 23, 2024",Liberty,,Kennesaw State,
10,"Oct 23, 2024",Middle Tennessee State,,Jacksonville State,
10,"Oct 24, 2024",Georgia Southern,,Old Dominion,
10,"Oct 24, 2024",Syracuse,,(19)Pittsburgh,
10,"Oct 25, 2024",(17)Boise State,,Nevada-Las Vegas,
10,"Oct 25, 2024",Louisville,,Boston College,
10,"Oct 25, 2024",Rutgers,,Southern California,
10,"Oct 26, 2024",Arkansas,,Mississippi State,
10,"Oct 26, 2024",Auburn,,Kentucky,
10,"Oct 26, 2024",Bowling Green,,Toledo,
10,"Oct 26, 2024",(11)Brigham Young,,Central Florida,
10,"Oct 26, 2024",Buffalo,,Ohio,
10,"Oct 26, 2024",Central Michigan,,Miami (OH),
10,"Oct 26, 2024",Charlotte,,Memphis,
10,"Oct 26, 2024",Cincinnati,,Colorado,
10,"Oct 26, 2024",Eastern Michigan,,Akron,
10,"Oct 26, 2024",Florida State,,(6)Miami (FL),
10,"Oct 26, 2024",Georgia State,,Appalachian State,
10,"Oct 26, 2024",Georgia Tech,,Virginia Tech,
10,"Oct 26, 2024",(20)Illinois,,(1)Oregon,
10,"Oct 26, 2024",Kansas,,(16)Kansas State,
10,"Oct 26, 2024",Kent State,,Western Michigan,
10,"Oct 26, 2024",(8)Louisiana State,,(14)Texas A&M,
10,"Oct 26, 2024",Louisiana-Monroe,,South Alabama,
10,"Oct 26, 2024",Maryland,,Minnesota,
10,"Oct 26, 2024",Michigan State,,Michigan,
10,"Oct 26, 2024",(21)Missouri,,(15)Alabama,
10,"Oct 26, 2024",Nebraska,,(4)Ohio State,
10,"Oct 26, 2024",New Mexico,,Colorado State,
10,"Oct 26, 2024",North Carolina,,Virginia,
10,"Oct 26, 2024",Northern Illinois,,Ball State,
10,"Oct 26, 2024",Northwestern,,Iowa,
10,"Oct 26, 2024",(12)Notre Dame,,(24)Navy,
10,"Oct 26, 2024",Oklahoma,,(18)Mississippi,
10,"Oct 26, 2024",Oklahoma State,,Baylor,
10,"Oct 26, 2024",Oregon State,,California,
10,"Oct 26, 2024",(3)Penn State,,Wisconsin,
10,"Oct 26, 2024",Rice,,Connecticut,
10,"Oct 26, 2024",San Jose State,,Fresno State,
10,"Oct 26, 2024",(22)Southern Methodist,,Duke,
10,"Oct 26, 2024",Southern Mississippi,,James Madison,
10,"Oct 26, 2024",Temple,,East Carolina,
10,"Oct 26, 2024",(5)Texas,,(25)Vanderbilt,
10,"Oct 26, 2024",Texas Tech,,Texas Christian,
10,"Oct 26, 2024",Texas-San Antonio,,Tulsa,
10,"Oct 26, 2024",Troy,,Arkansas State,
10,"Oct 26, 2024",Tulane,,North Texas,
10,"Oct 26, 2024",Utah,,Houston,
10,"Oct 26, 2024",Utah State,,Wyoming,
10,"Oct 26, 2024",Wagner,,Massachusetts,
10,"Oct 26, 2024",Wake Forest,,Stanford,
10,"Oct 26, 2024",Washington,,(13)Indiana,
10,"Oct 26, 2024",Washington State,,San Diego State,
10,"Oct 26, 2024",West Virginia,,Arizona,
10,"Oct 27, 2024",Nevada,,Hawaii,
11,"Oct 29, 2024",Louisiana,,Texas State,
11,"Oct 29, 2024",Louisiana Tech,,Sam Houston,
11,"Oct 29, 2024",New Mexico State,,Florida International,
11,"Oct 30, 2024",Jacksonville State,,Liberty,
11,"Oct 30, 2024",Kennesaw State,,Western Kentucky,
11,"Oct 31, 2024",Tulane,,Charlotte,
11,"Nov 1, 2024",Georgia State,,Connecticut,
11,"Nov 1, 2024",San Diego State,,(17)Boise State,
11,"Nov 1, 2024",South Florida,,Florida Atlantic,
11,"Nov 2, 2024",Air Force,,(23)Army,
11,"Nov 2, 2024",Arizona,,Central Florida,
11,"Nov 2, 2024",Arizona State,,Oklahoma State,
11,"Nov 2, 2024",Buffalo,,Akron,
11,"Nov 2, 2024",Coastal Carolina,,Troy,
11,"Nov 2, 2024",Colorado State,,Nevada,
11,"Nov 2, 2024",Duke,,(6)Miami (FL),
11,"Nov 2, 2024",(2)Georgia,,Florida,
11,"Nov 2, 2024",Georgia Southern,,South Alabama,
11,"Nov 2, 2024",Hawaii,,Fresno State,
11,"Nov 2, 2024",(13)Indiana,,Michigan State,
11,"Nov 2, 2024",(16)Kansas State,,Houston,
11,"Nov 2, 2024",Kentucky,,(7)Tennessee,
11,"Nov 2, 2024",Louisiana-Monroe,,Marshall,
11,"Nov 2, 2024",Louisville,,(9)Clemson,
11,"Nov 2, 2024",Maine,,Oklahoma,
11,"Nov 2, 2024",Massachusetts,,Mississippi State,
11,"Nov 2, 2024",Memphis,,Texas-San Antonio,
11,"Nov 2, 2024",Middle Tennessee State,,Texas-El Paso,
11,"Nov 2, 2024",Minnesota,,(20)Illinois,
11,"Nov 2, 2024",(18)Mississippi,,Arkansas,
11,"Nov 2, 2024",(24)Navy,,Rice,
11,"Nov 2, 2024",North Carolina,,Florida State,
11,"Nov 2, 2024",Northwestern,,Purdue,
11,"Nov 2, 2024",(4)Ohio State,,(3)Penn State,
11,"Nov 2, 2024",Old Dominion,,Appalachian State,
11,"Nov 2, 2024",(1)Oregon,,Michigan,
11,"Nov 2, 2024",(19)Pittsburgh,,(22)Southern Methodist,
11,"Nov 2, 2024",Southern California,,Washington,
11,"Nov 2, 2024",Stanford,,North Carolina State,
11,"Nov 2, 2024",(14)Texas A&M,,South Carolina,
11,"Nov 2, 2024",Texas Christian,,Baylor,
11,"Nov 2, 2024",Texas Tech,,(10)Iowa State,
11,"Nov 2, 2024",Toledo,,Eastern Michigan,
11,"Nov 2, 2024",Tulsa,,Alabama-Birmingham,
11,"Nov 2, 2024",UCLA,,Nebraska,
11,"Nov 2, 2024",(25)Vanderbilt,,Auburn,
11,"Nov 2, 2024",Virginia Tech,,Syracuse,
11,"Nov 2, 2024",Wisconsin,,Iowa,
11,"Nov 2, 2024",Wyoming,,New Mexico,
12,"Nov 5, 2024",Bowling Green,,Central Michigan,
12,"Nov 5, 2024",Miami (OH),,Ball State,
12,"Nov 6, 2024",Northern Illinois,,Western Michigan,
12,"Nov 6, 2024",Ohio,,Kent State,
12,"Nov 7, 2024",Appalachian State,,Coastal Carolina,
12,"Nov 7, 2024",Florida Atlantic,,East Carolina,
12,"Nov 8, 2024",California,,Wake Forest,
12,"Nov 8, 2024",Iowa,,UCLA,
12,"Nov 8, 2024",New Mexico,,San Diego State,
12,"Nov 8, 2024",Rice,,Memphis,
12,"Nov 9, 2024",(15)Alabama,,(8)Louisiana State,
12,"Nov 9, 2024",Arkansas State,,Louisiana,
12,"Nov 9, 2024",(23)Army,,North Texas,
12,"Nov 9, 2024",(11)Brigham Young,,Utah,
12,"Nov 9, 2024",Central Florida,,Arizona State,
12,"Nov 9, 2024",(9)Clemson,,Virginia Tech,
12,"Nov 9, 2024",Colorado,,Texas Tech,
12,"Nov 9, 2024",Connecticut,,Alabama-Birmingham,
12,"Nov 9, 2024",Duke,,North Carolina State,
12,"Nov 9, 2024",Florida,,(5)Texas,
12,"Nov 9, 2024",Florida State,,(12)Notre Dame,
12,"Nov 9, 2024",Fresno State,,Air Force,
12,"Nov 9, 2024",(2)Georgia,,(18)Mississippi,
12,"Nov 9, 2024",Georgia State,,James Madison,
12,"Nov 9, 2024",(10)Iowa State,,Kansas,
12,"Nov 9, 2024",Jacksonville State,,Louisiana Tech,
12,"Nov 9, 2024",Kennesaw State,,Texas-El Paso,
12,"Nov 9, 2024",Liberty,,Middle Tennessee State,
12,"Nov 9, 2024",Marshall,,Southern Mississippi,
12,"Nov 9, 2024",Maryland,,(1)Oregon,
12,"Nov 9, 2024",(6)Miami (FL),,Georgia Tech,
12,"Nov 9, 2024",Michigan,,(13)Indiana,
12,"Nov 9, 2024",Minnesota,,Rutgers,
12,"Nov 9, 2024",Mississippi State,,(7)Tennessee,
12,"Nov 9, 2024",(24)Navy,,South Florida,
12,"Nov 9, 2024",Nevada,,(17)Boise State,
12,"Nov 9, 2024",Nevada-Las Vegas,,Hawaii,
12,"Nov 9, 2024",Oklahoma,,(21)Missouri,
12,"Nov 9, 2024",Oklahoma State,,Texas Christian,
12,"Nov 9, 2024",Purdue,,(4)Ohio State,
12,"Nov 9, 2024",San Jose State,,Oregon State,
12,"Nov 9, 2024",South Carolina,,(25)Vanderbilt,
12,"Nov 9, 2024",Syracuse,,Boston College,
12,"Nov 9, 2024",Temple,,Tulane,
12,"Nov 9, 2024",Texas State,,Louisiana-Monroe,
12,"Nov 9, 2024",Utah State,,Washington State,
12,"Nov 9, 2024",Virginia,,(19)Pittsburgh,
12,"Nov 9, 2024",Washington,,(3)Penn State,
12,"Nov 9, 2024",West Virginia,,Cincinnati,
12,"Nov 9, 2024",Western Kentucky,,New Mexico State,
13,"Nov 12, 2024",Ball State,,Buffalo,
13,"Nov 12, 2024",Central Michigan,,Toledo,
13,"Nov 12, 2024",Western Michigan,,Bowling Green,
13,"Nov 13, 2024",Akron,,Northern Illinois,
13,"Nov 13, 2024",Eastern Michigan,,Ohio,
13,"Nov 13, 2024",Kent State,,Miami (OH),
13,"Nov 14, 2024",East Carolina,,Tulsa,
13,"Nov 15, 2024",Houston,,Arizona,
13,"Nov 15, 2024",North Texas,,Texas-San Antonio,
13,"Nov 15, 2024",UCLA,,Washington,
13,"Nov 15, 2024",Wyoming,,Colorado State,
13,"Nov 16, 2024",Alabama-Birmingham,,Memphis,
13,"Nov 16, 2024",Arizona State,,(16)Kansas State,
13,"Nov 16, 2024",Arkansas State,,Georgia State,
13,"Nov 16, 2024",Baylor,,West Virginia,
13,"Nov 16, 2024",(17)Boise State,,San Jose State,
13,"Nov 16, 2024",Boston College,,(22)Southern Methodist,
13,"Nov 16, 2024",Cincinnati,,(10)Iowa State,
13,"Nov 16, 2024",(9)Clemson,,(19)Pittsburgh,
13,"Nov 16, 2024",Coastal Carolina,,Marshall,
13,"Nov 16, 2024",Florida Atlantic,,Temple,
13,"Nov 16, 2024",Florida International,,Jacksonville State,
13,"Nov 16, 2024",Hawaii,,Utah State,
13,"Nov 16, 2024",James Madison,,Old Dominion,
13,"Nov 16, 2024",Kansas,,(11)Brigham Young,
13,"Nov 16, 2024",Liberty,,Massachusetts,
13,"Nov 16, 2024",(8)Louisiana State,,Florida,
13,"Nov 16, 2024",Louisiana Tech,,Western Kentucky,
13,"Nov 16, 2024",Louisiana-Monroe,,Auburn,
13,"Nov 16, 2024",Louisville,,Stanford,
13,"Nov 16, 2024",Mercer,,(15)Alabama,
13,"Nov 16, 2024",Michigan State,,(20)Illinois,
13,"Nov 16, 2024",(21)Missouri,,South Carolina,
13,"Nov 16, 2024",Murray State,,Kentucky,
13,"Nov 16, 2024",Nebraska,,Southern California,
13,"Nov 16, 2024",New Mexico State,,(14)Texas A&M,
13,"Nov 16, 2024",(4)Ohio State,,Northwestern,
13,"Nov 16, 2024",(1)Oregon,,Wisconsin,
13,"Nov 16, 2024",Oregon State,,Air Force,
13,"Nov 16, 2024",(3)Penn State,,Purdue,
13,"Nov 16, 2024",Rutgers,,Maryland,
13,"Nov 16, 2024",Sam Houston,,Kennesaw State,
13,"Nov 16, 2024",San Diego State,,Nevada-Las Vegas,
13,"Nov 16, 2024",South Alabama,,Louisiana,
13,"Nov 16, 2024",South Florida,,Charlotte,
13,"Nov 16, 2024",Southern Mississippi,,Texas State,
13,"Nov 16, 2024",Syracuse,,California,
13,"Nov 16, 2024",(7)Tennessee,,(2)Georgia,
13,"Nov 16, 2024",(5)Texas,,Arkansas,
13,"Nov 16, 2024",Troy,,Georgia Southern,
13,"Nov 16, 2024",Tulane,,(24)Navy,
13,"Nov 16, 2024",Utah,,Colorado,
13,"Nov 16, 2024",Virginia,,(12)Notre Dame,
13,"Nov 16, 2024",Wake Forest,,North Carolina,
13,"Nov 16, 2024",Washington State,,New Mexico,
14,"Nov 19, 2024",Akron,,Kent State,
14,"Nov 19, 2024",Northern Illinois,,Miami (OH),
14,"Nov 19, 2024",Western Michigan,,Central Michigan,
14,"Nov 20, 2024",Buffalo,,Eastern Michigan,
14,"Nov 20, 2024",Ohio,,Toledo,
14,"Nov 21, 2024",North Carolina State,,Georgia Tech,
14,"Nov 22, 2024",Nevada-Las Vegas,,San Jose State,
14,"Nov 22, 2024",Purdue,,Michigan State,
14,"Nov 22, 2024",Temple,,Texas-San Antonio,
14,"Nov 23, 2024",Air Force,,Nevada,
14,"Nov 23, 2024",(15)Alabama,,Oklahoma,
14,"Nov 23, 2024",Arizona,,Texas Christian,
14,"Nov 23, 2024",(23)Army,,(12)Notre Dame,
14,"Nov 23, 2024",Baylor,,Houston,
14,"Nov 23, 2024",(17)Boise State,,Wyoming,
14,"Nov 23, 2024",Bowling Green,,Ball State,
14,"Nov 23, 2024",(11)Brigham Young,,Arizona State,
14,"Nov 23, 2024",Central Florida,,West Virginia,
14,"Nov 23, 2024",Charleston Southern,,Florida State,
14,"Nov 23, 2024",Charlotte,,Florida Atlantic,
14,"Nov 23, 2024",Cincinnati,,(16)Kansas State,
14,"Nov 23, 2024",Citadel,,(9)Clemson,
14,"Nov 23, 2024",Colorado,,Kansas,
14,"Nov 23, 2024",Colorado State,,Fresno State,
14,"Nov 23, 2024",Connecticut,,Syracuse,
14,"Nov 23, 2024",East Carolina,,North Texas,
14,"Nov 23, 2024",Florida International,,Kennesaw State,
14,"Nov 23, 2024",Georgia Southern,,Coastal Carolina,
14,"Nov 23, 2024",Georgia State,,Texas State,
14,"Nov 23, 2024",(20)Illinois,,Rutgers,
14,"Nov 23, 2024",(13)Indiana,,(4)Ohio State,
14,"Nov 23, 2024",Iowa,,Maryland,
14,"Nov 23, 2024",(10)Iowa State,,Utah,
14,"Nov 23, 2024",James Madison,,Appalachian State,
14,"Nov 23, 2024",Kentucky,,(5)Texas,
14,"Nov 23, 2024",Louisiana Tech,,Arkansas,
14,"Nov 23, 2024",Louisiana-Monroe,,Arkansas State,
14,"Nov 23, 2024",Marshall,,Old Dominion,
14,"Nov 23, 2024",Massachusetts,,(2)Georgia,
14,"Nov 23, 2024",(18)Mississippi,,Florida,
14,"Nov 23, 2024",(21)Missouri,,Mississippi State,
14,"Nov 23, 2024",New Mexico State,,Middle Tennessee State,
14,"Nov 23, 2024",North Carolina,,Boston College,
14,"Nov 23, 2024",Northwestern,,Michigan,
14,"Nov 23, 2024",(3)Penn State,,Minnesota,
14,"Nov 23, 2024",(19)Pittsburgh,,Louisville,
14,"Nov 23, 2024",Rice,,Alabama-Birmingham,
14,"Nov 23, 2024",Sam Houston,,Jacksonville State,
14,"Nov 23, 2024",San Diego State,,Utah State,
14,"Nov 23, 2024",South Alabama,,Southern Mississippi,
14,"Nov 23, 2024",Southern California,,UCLA,
14,"Nov 23, 2024",(22)Southern Methodist,,Virginia,
14,"Nov 23, 2024",Stanford,,California,
14,"Nov 23, 2024",(14)Texas A&M,,Auburn,
14,"Nov 23, 2024",Texas Tech,,Oklahoma State,
14,"Nov 23, 2024",Texas-El Paso,,(7)Tennessee,
14,"Nov 23, 2024",Troy,,Louisiana,
14,"Nov 23, 2024",Tulsa,,South Florida,
14,"Nov 23, 2024",(25)Vanderbilt,,(8)Louisiana State,
14,"Nov 23, 2024",Virginia Tech,,Duke,
14,"Nov 23, 2024",Wake Forest,,(6)Miami (FL),
14,"Nov 23, 2024",Washington State,,Oregon State,
14,"Nov 23, 2024",Western Kentucky,,Liberty,
14,"Nov 23, 2024",Wisconsin,,Nebraska,
14,"Nov 23, 2024",Wofford,,South Carolina,
15,"Nov 26, 2024",Kent State,,Buffalo,
15,"Nov 26, 2024",Toledo,,Akron,
15,"Nov 28, 2024",Memphis,,Tulane,
15,"Nov 29, 2024",Alabama-Birmingham,,Charlotte,
15,"Nov 29, 2024",Ball State,,Ohio,
15,"Nov 29, 2024",Georgia Tech,,(2)Georgia,
15,"Nov 29, 2024",Liberty,,Sam Houston,
15,"Nov 29, 2024",Miami (OH),,Bowling Green,
15,"Nov 29, 2024",Minnesota,,Wisconsin,
15,"Nov 29, 2024",Mississippi State,,(18)Mississippi,
15,"Nov 29, 2024",(24)Navy,,East Carolina,
15,"Nov 29, 2024",Nebraska,,Iowa,
15,"Nov 29, 2024",Oklahoma State,,Colorado,
15,"Nov 29, 2024",Stanford,,San Jose State,
15,"Nov 29, 2024",Texas State,,South Alabama,
15,"Nov 29, 2024",Utah,,Central Florida,
15,"Nov 29, 2024",Utah State,,Colorado State,
15,"Nov 30, 2024",Air Force,,San Diego State,
15,"Nov 30, 2024",Appalachian State,,Georgia Southern,
15,"Nov 30, 2024",Arizona State,,Arizona,
15,"Nov 30, 2024",Arkansas,,(21)Missouri,
15,"Nov 30, 2024",Auburn,,(15)Alabama,
15,"Nov 30, 2024",California,,(22)Southern Methodist,
15,"Nov 30, 2024",Central Michigan,,Northern Illinois,
15,"Nov 30, 2024",Coastal Carolina,,Georgia State,
15,"Nov 30, 2024",Connecticut,,Massachusetts,
15,"Nov 30, 2024",Duke,,Wake Forest,
15,"Nov 30, 2024",Eastern Michigan,,Western Michigan,
15,"Nov 30, 2024",Florida,,Florida State,
15,"Nov 30, 2024",Florida Atlantic,,Tulsa,
15,"Nov 30, 2024",Fresno State,,UCLA,
15,"Nov 30, 2024",Houston,,(11)Brigham Young,
15,"Nov 30, 2024",(20)Illinois,,Northwestern,
15,"Nov 30, 2024",Jacksonville State,,Western Kentucky,
15,"Nov 30, 2024",Kansas,,Baylor,
15,"Nov 30, 2024",(16)Kansas State,,(10)Iowa State,
15,"Nov 30, 2024",Kennesaw State,,Louisiana Tech,
15,"Nov 30, 2024",Louisiana,,Louisiana-Monroe,
15,"Nov 30, 2024",Louisville,,Kentucky,
15,"Nov 30, 2024",Marshall,,James Madison,
15,"Nov 30, 2024",Maryland,,(3)Penn State,
15,"Nov 30, 2024",(6)Miami (FL),,Syracuse,
15,"Nov 30, 2024",Michigan,,(4)Ohio State,
15,"Nov 30, 2024",Middle Tennessee State,,Florida International,
15,"Nov 30, 2024",Nevada,,Nevada-Las Vegas,
15,"Nov 30, 2024",New Mexico,,Hawaii,
15,"Nov 30, 2024",North Carolina State,,North Carolina,
15,"Nov 30, 2024",North Texas,,Temple,
15,"Nov 30, 2024",(12)Notre Dame,,Southern California,
15,"Nov 30, 2024",Oklahoma,,(8)Louisiana State,
15,"Nov 30, 2024",Old Dominion,,Arkansas State,
15,"Nov 30, 2024",Oregon State,,(17)Boise State,
15,"Nov 30, 2024",(19)Pittsburgh,,Boston College,
15,"Nov 30, 2024",Purdue,,(13)Indiana,
15,"Nov 30, 2024",Rutgers,,Michigan State,
15,"Nov 30, 2024",South Carolina,,(9)Clemson,
15,"Nov 30, 2024",South Florida,,Rice,
15,"Nov 30, 2024",Southern Mississippi,,Troy,
15,"Nov 30, 2024",(7)Tennessee,,(25)Vanderbilt,
15,"Nov 30, 2024",(5)Texas,,(14)Texas A&M,
15,"Nov 30, 2024",Texas Christian,,Cincinnati,
15,"Nov 30, 2024",Texas-El Paso,,New Mexico State,
15,"Nov 30, 2024",Texas-San Antonio,,(23)Army,
15,"Nov 30, 2024",Virginia,,Virginia Tech,
15,"Nov 30, 2024",Washington,,(1)Oregon,
15,"Nov 30, 2024",West Virginia,,Texas Tech,
15,"Nov 30, 2024",Wyoming,,Washington State,
16,"Dec 14, 2024",(23)Army,,(24)Navy,
